indice|nombre|link
212|Lente_Economica_Transparente|https://www.amazon.com/-/es/RK-SG101-transparentes-transparente-Anti-Niebla-certificaci%C3%B3n/dp/B071R6HTML
213|Lente_New_Boss_Azul|https://www.dafiti.cl/Lente-De-Sol-Clasico-Azul-Hugo-Boss-1214081.html
214|Lente_New_Boss_Espejado|https://dpgdutyfree.cl/collections/lentes-hugo-boss/products/lente-de-sol-hugo-boss-1249-s-2038984vf56t4
215|Lente_New_Boss_Gris|https://dpgdutyfree.cl/collections/lentes-hugo-boss/products/lente-de-sol-hugo-boss-1249-s-2038984vf56t4
216|Lente_Pegasus_Azulado|https://fullprotek.cl/producto/lente-pegasus-azulado/
217|Lente_Pegasus_Espejado|https://fullprotek.cl/producto/lente-pegasus-gris/
218|Lente_Pegasus_Gris|https://fullprotek.cl/producto/lente-pegasus-gris/
219|Lente_SobreLente_Claro|https://www.treck.cl/tiendaonline/webapp/detalle/lente-sobre-lente-ox-claro-3m-12163/2888
220|Lija_Al_Agua|https://www.isesa.cl/lija-al-agua-oxido-de-aluminio-siawet-1200-753323/p
221|Lija_Fierro_220|https://www.toso.cl/herramientas-y-maquinarias/herramientas-electricas-y-accesorios/accesorios/lija-fierro-220-tela.html
222|Lija_Madera_220|https://cornershopapp.com/es-cl/products/3jr46-norton-lija-masilla-madera-225x275mm-grano-220-grano-220
223|Lija_Redonda_De_Velcro_#100|x
224|Lija_Redonda_De_Velcro_#120|x
225|Lija_Redonda_De_Velcro_#80|x
226|Abrazadera_De_Presion_3|https://biocartuning.cl/producto/abrazadera-3-79-87/
227|Lima_Plana_Ferretools|https://ferrecenter.cl/home/1554-lima-plana-8-m-plastico-con-jebe.html
228|Lima_Semiredonda_Total|https://www.pacifiko.com/compras-en-linea/total-lima-semi-redonda-para-metal-de-8-pulgadas&pid=MWFlNmIxMT
229|Lima_Triangular_total|https://ferritem.cl/products/432
230|Llave_Corona_14mm|https://www.construplaza.cl/ferreteria/herramientas-manuales/llave-pta-corona-de-14-mm-td.html
231|Llave_Corona_19mm_Kamasa|https://articulo.mercadolibre.cl/MLC-1028363199-llave-mixta-punta-corona-19mm-kamasa-km6419-_JM
232|Llave_Corona_22mm_Kamasa|https://www.duofer.cl/MLC-1028388918-llave-mixta-punta-corona-22mm-kamasa-km6422-_JM
233|Llave_Corona_21mm_Kamasa|https://www.duofer.cl/MLC-1028414906-llave-mixta-punta-corona-21mm-kamasa-km6421-_JM
234|Llave_Corona_25mm_Kamasa|https://tienda.hastor.cl/main/producto_filtrado/KM6362
235|Llave_Corona_15mm_Kamasa|https://www.duofer.cl/MLC-1028689945-llave-mixta-punta-corona-15mm-kamasa-km6415-_JM
236|Llave_Corona_16mm_Kamasa|https://articulo.mercadolibre.cl/MLC-1028819445-llave-mixta-punta-corona-16mm-kamasa-km6416-_JM
237|Llave_Corona_17mm_Kamasa|https://articulo.mercadolibre.cl/MLC-1028664434-llave-mixta-punta-corona-17mm-kamasa-km6417-_JM
238|Llave_Corona_18mm_Kamasa|https://www.duofer.cl/MLC-1028812866-llave-mixta-punta-corona-18mm-kamasa-km6418-_JM
239|Llave_Corona_24mm_Kamasa|https://importadoraoro.cl/index.php?id_product=1230&controller=product
240|Llave_Corona_27mm_Kamasa|https://articulo.mercadolibre.cl/MLC-967582118-llave-carraca-andamios-chicharra-24-27mm-porfesional-kamasa-_JM
